"","observed_month","percent_hens","percent_eggs","source"
"1",2007-12-31,3.2,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"2",2008-12-31,3.5,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"3",2009-12-31,3.6,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"4",2010-12-31,4.4,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"5",2011-12-31,5.4,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"6",2012-12-31,6,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"7",2013-12-31,5.9,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"8",2014-12-31,5.7,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"9",2015-12-31,8.6,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"10",2016-04-30,9.9,NA,"Egg-Markets-Overview-2016-12-02.pdf"
"11",2016-08-31,10.1356852554027,9.63493843395098,"computed"
"12",2016-08-31,12,NA,"Egg-Markets-Overview-2016-12-02.pdf"
"13",2016-09-30,10.0570448775019,9.55743911289843,"computed"
"14",2016-10-31,12.2935275885069,11.6023128800275,"computed"
"15",2016-11-30,12.1006153291625,11.3728930077755,"computed"
"16",2016-12-31,11.7934884888025,10.9223731420522,"computed"
"17",2016-12-31,12.3,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"18",2017-01-31,11.8198479137654,11.1346640999919,"computed"
"19",2017-02-10,12.7,NA,"Egg-Markets-Overview-2017-02-10.pdf"
"20",2017-02-28,12.1525092564243,11.4959586428995,"computed"
"21",2017-03-31,12.8421272382784,11.9167469668816,"computed"
"22",2017-03-31,12.9,NA,"Egg-Markets-Overview-2017-04-28.pdf"
"23",2017-04-30,13.0827707530214,12.3667179717273,"computed"
"24",2017-05-01,14.1,NA,"Egg-Markets-Overview-2017-06-02.pdf"
"25",2017-05-31,13.4156845040839,12.6430492845963,"computed"
"26",2017-06-30,13.4814252343966,12.6949258454536,"computed"
"27",2017-07-01,14.2,NA,"Egg-Markets-Overview-2017-08-11.pdf"
"28",2017-07-31,13.5565058347716,12.7469228082431,"computed"
"29",2017-08-31,14.7124487232614,13.9925940739805,"computed"
"30",2017-09-01,14.6,NA,"Egg-Markets-Overview-2017-09-29.pdf"
"31",2017-09-30,15.3026597175091,14.5800993502532,"computed"
"32",2017-10-31,15.6978887292972,14.8980446548259,"computed"
"33",2017-11-01,16.6,NA,"Egg-Markets-Overview-2017-11-24.pdf"
"34",2017-11-30,15.4613684876027,14.5572008576592,"computed"
"35",2017-12-31,15.4319550144539,14.5095434577101,"computed"
"36",2017-12-31,16.6,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"37",2018-01-31,15.6280140630348,14.8429508531205,"computed"
"38",2018-02-28,16.070222194676,15.2872880926223,"computed"
"39",2018-03-09,16.9,NA,"Egg-Markets-Overview-2018-03-09.pdf"
"40",2018-03-31,15.9783697176046,15.2001435055111,"computed"
"41",2018-04-30,16.802016673969,15.9848252725748,"computed"
"42",2018-05-31,16.8312027100539,15.9604428020357,"computed"
"43",2018-06-30,16.9102735321759,16.0989249955301,"computed"
"44",2018-07-31,16.9260760590401,16.0969846794769,"computed"
"45",2018-08-31,16.8928308925715,15.961225273553,"computed"
"46",2018-09-30,17.5776284728527,16.6151704940849,"computed"
